PacketCounter,StatusWord,ClippingFlags,RSSI,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
06775,2,0,-54.0000,9.532270,0.777255,-2.023670,0.003169,-0.009100,-0.037032,-0.004116,-0.002793,-0.004630,0.255828,0.380697,-1.149115,0.095323,0.007770,-0.020236,1.000000,-0.000021,-0.000014,-0.000023,0.999993,0.002378,-0.001823,-0.002072,0.272972,-0.208368,-0.237881,0.999985,-0.004152,0.003637,0.004134,0.999980,0.004764,-0.003656,-0.004749,0.999982
06776,2,0,-54.0000,9.591489,0.803148,-2.084079,-0.046880,-0.010610,0.035297,-0.002374,-0.010010,-0.005344,0.260002,0.383992,-1.149831,0.095916,0.008029,-0.020836,1.000000,-0.000012,-0.000050,-0.000027,0.999993,0.002384,-0.001761,-0.002076,0.273611,-0.201266,-0.238381,0.999985,-0.004160,0.003513,0.004144,0.999980,0.004775,-0.003533,-0.004761,0.999982
06777,2,0,-54.0000,9.635569,0.784532,-2.058564,-0.006660,-0.003353,0.071508,0.002824,0.002736,-0.001660,0.252590,0.378115,-1.159642,0.096355,0.007845,-0.020587,1.000000,0.000014,0.000014,-0.000008,0.999993,0.002389,-0.001767,-0.002070,0.274187,-0.201962,-0.237644,0.999985,-0.004148,0.003525,0.004131,0.999980,0.004785,-0.003545,-0.004771,0.999982
06778,2,0,-54.0000,9.611698,0.788501,-2.060212,-0.015327,-0.006330,0.048888,0.006141,0.009925,-0.000945,0.254783,0.372616,-1.167167,0.096116,0.007885,-0.020607,1.000000,0.000031,0.000050,-0.000005,0.999994,0.002389,-0.001805,-0.002000,0.274157,-0.206345,-0.229625,0.999985,-0.004008,0.003601,0.003990,0.999981,0.004785,-0.003620,-0.004770,0.999982
06779,2,0,-54.0000,9.592742,0.835328,-2.038717,-0.017999,-0.057622,0.029629,-0.000650,0.005705,-0.002175,0.248712,0.393222,-1.163756,0.095927,0.008352,-0.020390,1.000000,-0.000003,0.000029,-0.000011,0.999993,0.002382,-0.001824,-0.002008,0.273404,-0.208499,-0.230629,0.999985,-0.004025,0.003639,0.004008,0.999981,0.004772,-0.003658,-0.004757,0.999982
06780,2,0,-54.0000,9.565037,0.828181,-2.019097,-0.004143,-0.058415,-0.002023,-0.004763,0.002648,0.003480,0.250461,0.382295,-1.157645,0.095650,0.008283,-0.020192,1.000000,-0.000024,0.000013,0.000017,0.999993,0.002404,-0.001840,-0.002029,0.275893,-0.210239,-0.233059,0.999985,-0.004068,0.003669,0.004050,0.999980,0.004815,-0.003689,-0.004800,0.999982
06781,2,0,-54.0000,9.518434,0.825613,-2.056418,-0.047249,-0.042067,-0.039915,-0.007884,-0.002707,0.001658,0.252866,0.381424,-1.159706,0.095185,0.008256,-0.020563,1.000000,-0.000039,-0.000014,0.000008,0.999993,0.002422,-0.001826,-0.002081,0.277965,-0.208722,-0.238949,0.999985,-0.004170,0.003643,0.004153,0.999980,0.004851,-0.003663,-0.004836,0.999982
06782,2,0,-54.0000,9.558787,0.795309,-2.009339,0.015558,-0.032638,-0.012735,0.003574,-0.002185,0.005104,0.249745,0.386061,-1.156978,0.095588,0.007956,-0.020092,1.000000,0.000018,-0.000011,0.000026,0.999993,0.002468,-0.001822,-0.002063,0.283300,-0.208194,-0.236959,0.999985,-0.004136,0.003634,0.004118,0.999979,0.004944,-0.003654,-0.004929,0.999981
06783,2,0,-54.0000,9.588950,0.823353,-2.017608,0.004861,-0.056616,0.020592,0.000257,-0.009373,0.004388,0.252299,0.382965,-1.162582,0.095890,0.008236,-0.020172,1.000000,0.000001,-0.000047,0.000022,0.999993,0.002520,-0.001783,-0.002081,0.289217,-0.203741,-0.238941,0.999985,-0.004170,0.003556,0.004152,0.999979,0.005048,-0.003577,-0.005033,0.999981
06784,2,0,-54.0000,9.605583,0.754846,-2.050102,0.004655,0.018272,0.038180,-0.000747,0.004656,0.003521,0.260954,0.386747,-1.158823,0.096055,0.007550,-0.020503,1.000000,-0.000004,0.000023,0.000018,0.999993,0.002541,-0.001808,-0.002102,0.291632,-0.206543,-0.241350,0.999985,-0.004212,0.003605,0.004194,0.999978,0.005090,-0.003626,-0.005075,0.999981
06785,2,0,-54.0000,9.584134,0.779894,-2.040492,-0.001043,-0.008848,0.017236,0.001536,0.002415,0.002335,0.249077,0.386282,-1.166096,0.095841,0.007800,-0.020406,1.000000,0.000008,0.000012,0.000012,0.999993,0.002563,-0.001820,-0.002106,0.294181,-0.207919,-0.241830,0.999985,-0.004221,0.003629,0.004202,0.999978,0.005134,-0.003650,-0.005119,0.999980
06786,2,0,-54.0000,9.561624,0.773179,-2.075187,-0.035331,0.010186,0.001970,0.005898,0.007567,0.003010,0.257201,0.386895,-1.158956,0.095615,0.007734,-0.020755,1.000000,0.000029,0.000038,0.000015,0.999993,0.002584,-0.001856,-0.002083,0.296493,-0.212026,-0.239291,0.999984,-0.004176,0.003701,0.004157,0.999978,0.005175,-0.003722,-0.005159,0.999980
06787,2,0,-54.0000,9.545094,0.840879,-2.042554,-0.034990,-0.065268,-0.015625,0.009027,0.001454,0.002891,0.257507,0.381858,-1.163788,0.095451,0.008411,-0.020426,1.000000,0.000045,0.000007,0.000014,0.999993,0.002618,-0.001864,-0.002052,0.300485,-0.213032,-0.235700,0.999985,-0.004114,0.003718,0.004094,0.999978,0.005244,-0.003740,-0.005229,0.999979
06788,2,0,-54.0000,9.542692,0.819071,-2.053994,-0.037891,-0.041383,-0.017301,0.001340,0.000582,0.003442,0.254325,0.385729,-1.155282,0.095427,0.008192,-0.020540,1.000000,0.000007,0.000003,0.000017,0.999993,0.002649,-0.001868,-0.002032,0.303962,-0.213385,-0.233369,0.999985,-0.004073,0.003724,0.004053,0.999978,0.005305,-0.003746,-0.005290,0.999979
06789,2,0,-54.0000,9.554153,0.749857,-2.032113,0.010077,0.013730,-0.016090,0.002038,-0.004599,0.002769,0.253858,0.381241,-1.157430,0.095542,0.007500,-0.020319,1.000000,0.000010,-0.000023,0.000014,0.999993,0.002686,-0.001848,-0.002037,0.308269,-0.211128,-0.233941,0.999985,-0.004083,0.003685,0.004063,0.999977,0.005380,-0.003707,-0.005365,0.999979
06790,2,0,-54.0000,9.648957,0.702093,-2.068022,0.016720,0.070252,0.080078,0.008534,-0.002998,0.000517,0.259933,0.391418,-1.161092,0.096490,0.007022,-0.020678,1.000000,0.000043,-0.000015,0.000003,0.999993,0.002718,-0.001830,-0.001996,0.311863,-0.209073,-0.229247,0.999985,-0.004001,0.003649,0.003981,0.999977,0.005443,-0.003671,-0.005428,0.999979
06791,2,0,-54.0000,9.609644,0.763453,-2.071242,-0.017323,0.014105,0.047214,0.000947,-0.003085,0.005656,0.250730,0.389591,-1.160214,0.096097,0.007637,-0.020711,1.000000,0.000005,-0.000015,0.000028,0.999993,0.002764,-0.001823,-0.002008,0.317209,-0.208235,-0.230708,0.999985,-0.004027,0.003634,0.004006,0.999977,0.005536,-0.003657,-0.005522,0.999978
06792,2,0,-54.0000,9.593062,0.831259,-2.038873,-0.016956,-0.061297,0.029609,-0.010865,0.004716,0.003517,0.252633,0.384462,-1.159151,0.095930,0.008313,-0.020391,1.000000,-0.000054,0.000024,0.000018,0.999992,0.002771,-0.001846,-0.002095,0.318021,-0.210868,-0.240693,0.999984,-0.004201,0.003680,0.004180,0.999976,0.005550,-0.003704,-0.005535,0.999978
06793,2,0,-54.0000,9.580658,0.766194,-2.018509,0.022227,-0.008853,0.008202,-0.004565,0.004483,0.002372,0.260524,0.388114,-1.151456,0.095806,0.007663,-0.020187,1.000000,-0.000023,0.000022,0.000012,0.999992,0.002783,-0.001868,-0.002128,0.319382,-0.213332,-0.244490,0.999984,-0.004267,0.003723,0.004246,0.999975,0.005574,-0.003747,-0.005558,0.999978
06794,2,0,-54.0000,9.536520,0.784997,-2.044291,-0.017811,-0.016621,-0.028007,-0.006693,-0.003434,0.003359,0.253068,0.391576,-1.163011,0.095365,0.007851,-0.020442,1.000000,-0.000033,-0.000017,0.000017,0.999992,0.002810,-0.001852,-0.002170,0.322450,-0.211503,-0.249290,0.999984,-0.004351,0.003691,0.004330,0.999975,0.005628,-0.003716,-0.005612,0.999977
06795,2,0,-54.0000,9.561538,0.812664,-1.998023,0.019660,-0.060386,-0.011080,-0.000542,-0.004977,0.000473,0.262213,0.387609,-1.152598,0.095616,0.008127,-0.019978,1.000000,-0.000003,-0.000025,0.000002,0.999992,0.002835,-0.001826,-0.002186,0.325318,-0.208545,-0.251041,0.999984,-0.004381,0.003640,0.004361,0.999974,0.005678,-0.003665,-0.005662,0.999977
06796,2,0,-54.0000,9.560314,0.780941,-2.043026,-0.008830,-0.014474,-0.005387,0.001740,-0.007218,-0.000713,0.242962,0.378513,-1.156410,0.095604,0.007809,-0.020427,1.000000,0.000009,-0.000036,-0.000004,0.999992,0.002859,-0.001785,-0.002196,0.328031,-0.203848,-0.252239,0.999984,-0.004402,0.003558,0.004382,0.999974,0.005725,-0.003583,-0.005709,0.999977
